Martin Sexton;singer-songwriter
¡MAYDAY!;
Common Kings;reggae
The Jauntee;under 2000 listeners
Cycles;hardcore
Soulphonetics;
Leroy Sanchez;acoustic
All Get Out;indie rock
You Blew It!;emo
Free Throw;emo
Wilco;Alt-country
Flat Five;seen live
The Brother Brothers;folk
Lil' Ed;blues
Jake Xerxes Fussell;folk
James Elkington;
Mike Felten;
Casting Crowns;christian
Danny Gokey;American Idol
Leroy Sanchez;acoustic
Lou Gramm;rock
David Singer and the Sweet Science;indie rock
Mark Taylor;detroit techno
Sinkane;experimental
Rocket Miner;post-rock
KamiKazee Vigilante;
Jamey Johnson;country
Chris Hennessee;seen live
Devil in A Woodpile;Alt-country
Darkest Hour;metalcore
Rotten Sound;grindcore
Rivers of Nihil;Technical Death Metal
Ringworm;hardcore
Wilco;Alt-country
Jake Xerxes Fussell;folk
Sad Brad Smith;folk
Quiet Hollers;seen live
Frederick The Younger;
Slushii;electronic
Savoy;norwegian
antics;indie
Borgeous;electronic
Lil' Ed;blues
Harlan Lee Terson;
Tony Mangiullo;
Sumito Ariyo Ariyoshi;
Kaia Fowler;
Lily & Madeleine;indie
Unity The Band;
Chicago Symphony Orchestra;Classical
Whitney Rose;country
Aaron Diehl;jazz
Aegaeon;deathcore
Os Mutantes;psychedelic
Aaron Diehl;jazz
Potty Mouth;punk
Party Baby;
Ben Miller;improv
Valerie June;folk
Oh Pep!;folk
Creepshow;psychobilly
Gallows Bound;punk
Project Pat;rap
All Get Out;indie rock
You Blew It!;emo
Free Throw;emo
Davina & The Vagabonds;
Greg Fox;experimental
Too Close To Touch;post-hardcore
Creeper;funk metal
Waterparks;pop punk
Dead Horse Trauma;Nu Metal
Joe Marcinek Band;
Thundercat;electronic
Savoy;norwegian
Amanda Standalone;
Brian Naughton;bluesrock
Davina & The Vagabonds;
Borgeous;electronic
Cam;trip-hop
Maria Isa;Latin Rap
Montgomery Gentry;country
Kind Country;
New Sound Underground;
The Dang Ol' Tri'ole;
Crankshaft;demoscene
The Dichotomy ;
The Morning Kings;
Scottie Miller;blues
Lotus;electronic
JackLNDN;House
Karma Sutra;anarcho-punk
Chris Eldridge;
Julian Lage;jazz
Rezz;electronic
theSHIFT;
Lettuce;funk
The Russ Liquid Test;
Dropkick Murphys;punk
The Jason Dixon Line;
Darkest Hour;metalcore
Rotten Sound;grindcore
Rivers of Nihil;Technical Death Metal
Ringworm;hardcore
Steve Kaul & The Brass Kings;
The Pistol Whippin' Party Penguins;Minnesota
Corpse Reviver;
Fort Wilson Riot;seen live
Step Rockets;indie
The Jauntee;under 2000 listeners
Cycles;hardcore
Aaron Lewis;alternative rock
Emmure;metalcore
After the Burial;metalcore
Fit For A King;metalcore
Fit For An Autopsy;deathcore
Invent, Animate;metalcore
Jacuzzi Puma;
The Blinds;seen live
The Japanese House;seen live
Nine Pound Shadow;unsigned
Electric Guest;indie pop
Chad Valley;chillwave
Computer Magic;synthpop
Jake Miller;rap
Hartford Jazz Orchestra;
Uncle Johnny's Band;
Cuddle Magic;seen live
Josh Garrels;folk
John Mark McMillan;indie
Lisa Hannigan;folk
Heather Woods Broderick;folk
Cuddle Magic;seen live
Outasight ;
CUZ;experimental
The Gaslamp Killer;experimental
Run The Jewels;Hip-Hop
